X500, h500, X1000, h1000, X1500, h1500, X2000, h2000, X3500, h3500, X4500, h4500, X7500, h7500, X10000, h10000, X61n1500, h61n1500, X61n2500, h61n2500
2,8359, 13,03106, 3,23, 26,844, 2,453, 8,562, 3,196, 16,3934, 3,642, 23,9578, 3,252, 6,0058, 1,707, 10,1086, 2,645, -102,11, 2,883, 55,9486, 3,674, 4,8276
2,91872, 13,35404, 3,35, 43,0298, 2,553, 17,5728, 3,315, 17,7186, 3,81225, 20,84472, 3,365, 9,1648, 1,774, 9,9726, 2,743, -111,365, 2,99, 63,7752, 3,811, 8,5644
3,073, 13,67702, 3,469, 57,1826, 2,653, 29,995, 3,433, 20,3394, 3,919, 18,5366, 3,478, 12,638, 1,841, 9,1554, 2,841, -117,7784, 3,097, 64,6608, 3,947, 15,1432
3,18343, 13,46584, 3,589, 69,3452, 2,753, 44,6338, 3,49522, 21,82283, 4,057, 15,087, 3,6324, 16,49006, 1,908, 7,9312, 2,939, -122,543, 3,204, 58,3316, 4,083, 21,154
3,2825, 12,70807, 3,709, 75,183, 2,853, 56,8858, 3,59305, 23,32671, 4,195, 10,5588, 3,74704, 19,37205, 1,975, 6,158, 3,037, -124,5798, 3,311, 46,7068, 4,219, 26,5964
3,40754, 11,32919, 3,828, 70,1608, 2,953, 65,1012, 3,64196, 24,71957, 4,333, 7,2236, 3,86167, 20,86273, 2,042, 3,9024, 3,135, -122,0134, 3,417, 31,0576, 4,355, 32,5508
3,55044, 9,19255, 3,948, 57,416, 3,053, 67,8596, 3,78869, 26,22345, 4,471, 4,3434, 3,94383, 21,93106, 2,109, 1,1082, 3,233, -117,5156, 3,524, 16,9944, 4,491, 35,1568
3,65926, 7,0559, 4,068, 42,8968, 3,154, 62,1588, 3,99962, 26,33447, 4,609, -0,4694, 4,04318, 22,36584, 2,176, -2,1402, 3,331, -113,245, 3,631, 6,4554, 4,627, 37,4216
3,7567, 5,34161, 4,187, 26,9016, 3,254, 50,0218, 4,143, 25,0908, 4,747, -2,5536, 4,17501, 22,04286, 2,243, -6,0888, 3,429, -106,0756, 3,738, -3,2314, 4,763, 37,867
3,85737, 3,31677, 4,307, 14,217, 3,354, 36,1238, 4,262, 22,2, 4,87836, -4,19876, 4,27245, 21,07391, 2,309, -10,6524, 3,527, -97,1484, 3,845, -9,9016, 4,899, 38,7672
3,94182, 1,50311, 4,427, 7,0466, 3,454, 22,6808, 4,38, 16,994, 5,07324, -5,57764, 4,389, 20,11739, 2,376, -15,614, 3,625, -88,4486, 3,951, -12,314, 5,035, 36,6536
4,02465, -0,21118, 4,546, 3,5052, 3,554, 11,0682, 4,498, 11,8316, 5,16953, -6,15528, 4,50363, 18,30373, 2,443, -20,803, 3,723, -78,157, 4,058, -13,4184, 5,171, 34,0218
4,1367, -2,23602, 4,666, 2,6368, 3,65476, 4,31149, 4,617, 7,9196, 5,26812, -6,75155, 4,609, 15,566, 2,51, -26,0484, 3,821, -64,9666, 4,165, -14,971, 5,308, 30,1962
4,23414, -4,48447, 4,785, 3,425, 3,80264, 1,59255, 4,735, 4,36, 5,41256, -6,36025, 4,722, 12,3874, 2,577, -31,1236, 3,919, -51,6636, 4,272, -13,1144, 5,444, 25,2332
4,36081, -7,04348, 4,92854, 4,19441, 3,89205, 0,21988, 4,854, 1,5964, 5,55929, -6,95652, 4,835, 7,3894, 2,644, -35,7446, 4,017, -38,5268, 4,379, -11,3134, 5,58, 18,5644
4,47125, -9,08075, 5,04318, 4,47391, 3,96599, 0,0087, 4,972, 0,6934, 5,65558, -6,56522, 4,948, 2,9598, 2,711, -39,9682, 4,115, -25,9018, 4,485, -10,9392, 5,716, 13,7154
4,667, -10,7104, 5,17501, 5,00186, 4,11387, 0,21988, 5,09, 0,656, 5,82524, -7,14286, 5,07872, 1,32236, 2,778, -43,425, 4,213, -12,9368, 4,592, -10,0536, 5,852, 9,6058
4,784, -11,7926, 5,27245, 5,00186, 4,17233, 0,66863, 5,209, 0,051, , , 5,14368, 0,88758, 2,845, -46,0024, 4,311, -5,3712, 4,699, -8,1416, 5,988, 4,9848
4,91624, -11,52795, 5,40428, 5,25031, 4,29098, 0,90621, 5,38288, 0,4354, , , 5,22583, 0,46522, 2,912, -47,7848, 4,409, 0,8872, 4,806, -7,3708, 6,124, 0,989
5,0559, -12,38509, 5,56859, 4,19441, 4,34945, 2,0413, 5,5128, 0,64736, , , 5,32518, 0,25404, 2,979, -48,8386, 4,507, 4,5888, 4,913, -6,5964, 6,26, -0,6752
5,18095, -12,28571, 5,623, 4,9912, 4,46809, 2,25248, 5,69163, 0,97034, , , 5,4551, 0,04286, 3,046, -48,9084, 4,605, 5,8472, 5,019, -8,553, 6,396, -2,112
5,23616, -12,70807, 5,743, 4,8582, 4,58674, 2,49006, 5,82308, 1,08137, , , 5,61941, 0,04286, 3,113, -47,9284, 4,703, 2,8414, 5,126, -8,853, 6,532, -2,9806
5,37583, -13,03106, 5,862, 3,4752, 4,67616, 2,72764, 5,90409, 1,29332, , , 5,76844, 0,25404, 3,18, -46,1246, 4,801, 2,507, 5,233, -9,2716, 6,668, -3,8496
5,488, -12,2802, 5,982, 2,273, 4,77933, 3,1764, 5,9851, 0,86941, , , , , 3,247, -43,3556, 4,899, 1,4328, 5,34, -7,756, 6,805, -4,6044
